ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,Binary decision to assign a user story to a sprint backlog,binary,{0,1},0,1
DV1,select_feature_for_release,Select whether a feature is included in a release plan,binary,{0,1},0,1
DV2,allocate_worker_to_team,Assign a worker to a specific team for a sprint,binary,{0,1},0,1
DV3,set_task_priority_level,Set discrete priority level for a task,integer,integer,1,5
DV4,schedule_daily_scrum_duration,Choose the planned Daily Scrum duration in minutes,integer,integer,10,30
DV5,budget_allocation_per_project,Continuous budget allocated to a project,real,real,0,1000000
DV6,limit_wip_tasks_per_board,Set WIP cap (cards) on the Scrum board,integer,integer,0,200
DV7,assign_scrum_master_to_team,Assign a Scrum Master to a team,binary,{0,1},0,1
DV8,prioritize_user_story,Set ordering priority for a user story,integer,integer,1,100
DV9,estimate_story_points,Estimate story points for a user story,integer,integer,1,13
DV10,set_sprint_length_days,Choose sprint length in days,integer,integer,7,28
DV11,set_team_size,Choose the planned team size for a sprint,integer,integer,3,12
