ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,"Binary variable: 1 if worker w is assigned to team t, 0 otherwise",binary,"{0,1}",0,1
DV1,assign_story_to_sprint,"Binary variable: 1 if user story us is assigned to sprint sp, 0 otherwise",binary,"{0,1}",0,1
DV2,assign_team_to_project,"Binary variable: 1 if team t is assigned to project p, 0 otherwise",binary,"{0,1}",0,1
DV3,select_feature_for_release,"Binary variable: 1 if feature f is selected for release rep, 0 otherwise",binary,"{0,1}",0,1
DV4,sprint_story_points_total,Total number of story points planned for a sprint,integer,N/A,0,100
DV5,sprint_start_date,The start date of a given sprint (e.g., as days from project start),integer,N/A,0,
DV6,task_effort_hours,The estimated effort in hours for a specific task,continuous,N/A,0,40
DV7,set_feature_priority,The priority level assigned to a feature,integer,"{1,2,3,4,5}",1,5
DV8,assign_task_to_worker,"Binary variable: 1 if task tsk is assigned to worker w, 0 otherwise",binary,"{0,1}",0,1
DV9,select_worker_for_team,Decides if a worker should be added to a team roster,binary,"{0,1}",0,1
DV10,set_sprint_end_date,The end date of a given sprint (e.g., as days from project start),integer,N/A,0,
DV11,assign_task_to_story,"Binary variable: 1 if task tsk belongs to user story us, 0 otherwise",binary,"{0,1}",0,1
