"ID","Name","Description","AffectedEntities","Influence"
"1","Unclear Requirements","Ambiguous or changing requirements cause confusion and rework","Developers, Product Owner",8
"2","Tight Deadlines","Aggressive sprint goals and deadlines lead to time pressure","Developers, Scrum Master",9
"3","Overload","Excessive workload, tasks, or responsibilities cause burnout","Developers, Team",8
"4","Lack of Autonomy","Micromanaging or restrictive processes limit creativity and decision-making","Developers, Team",7
"5","Poor Communication","Inadequate or unclear communication leads to misunderstandings","Developers, Product Owner, Stakeholders",8
"6","Context Switching","Frequent task switching or interruptions disrupt focus","Developers",6
"7","Technical Debt","Neglected code quality, refactoring, or testing lead to future problems","Developers, Team",7
"8","Unrealistic Expectations","Stakeholder expectations exceed team's capabilities or sprint goals","Product Owner, Stakeholders",8
"9","Lack of Feedback","Insufficient or delayed feedback hinders progress and improvement","Developers, Team",6
"10","Team Dynamics","Conflicts, lack of trust, or poor collaboration affect team performance","Developers, Team",8
"11","Sprint Planning Issues","Inadequate planning, estimation, or commitment lead to sprint failures","Developers, Scrum Master",8
"12","Stakeholder Interference","External pressures, requests, or changes disrupt sprint progress","Product Owner, Stakeholders",7
"13","Burnout","Prolonged stress, overwork, or lack of work-life balance affects well-being","Developers, Team",9
"14","Lack of Resources","Insufficient tools, training, or support hinder progress","Developers, Team",6
"15","Unclear Roles","Confusion about team members' roles, responsibilities, or expectations","Developers, Team",5
