"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","team_size","Team size","Integer","{1, 2, 3, ...}","1","10"
"D1","project_duration","Project duration","Integer","{1, 2, 3, ...}","1","100"
"D2","feature_priority","Feature priority","Integer","{1, 2, 3}","1","3"
"D3","task_effort","Task effort","Integer","{1, 2, 3, ...}","1","100"
"D4","sprint_goal_achievement","Sprint goal achievement","Boolean","{0, 1}","0","1"
"D5","blocker_severity","Blocker severity","Integer","{1, 2, 3}","1","3"
"D6","stakeholder_influence","Stakeholder influence","Integer","{1, 2, 3}","1","3"
"D7","development_snapshot_quality","Development snapshot quality","Integer","{1, 2, 3}","1","3"
"D8","scrum_board_productivity","Scrum board productivity","Integer","{1, 2, 3, ...}","1","100"
"D9","sprint_retrospective_improvement_actions","Sprint retrospective improvement actions","Integer","{0, 1, 2, ...}","0","10"
"D10","product_backlog_quality","Product backlog quality","Integer","{1, 2, 3}","1","3"
"D11","task_blockers","Task blockers","Integer","{0, 1, 2, ...}","0","10"
"D12","team_collaboration","Team collaboration","Integer","{1, 2, 3}","1","3"
"D13","project_cost","Project cost","Integer","{1000, 2000, 3000, ...}","1000","100000"
"D14","feature_documentation_quality","Feature documentation quality","Integer","{1, 2, 3}","1","3"
