"Keyword","Category","Description","RelevantScrumEntities"
"Named Entity Recognition","Requirement Extraction","Identify and extract specific entities (e.g., users, features)","Product Backlog Items, User Stories"
"Part-of-Speech Tagging","Requirement Analysis","Analyze grammatical structure of requirements","User Stories, Acceptance Criteria"
"Dependency Parsing","Requirement Structuring","Identify relationships between requirements","Product Backlog, Sprint Backlog"
"Sentiment Analysis","Requirement Evaluation","Analyze stakeholder sentiment towards requirements","Product Owner, Stakeholders"
"Topic Modeling","Requirement Categorization","Group similar requirements into topics","Product Backlog, Feature Epics"
"Text Classification","Requirement Prioritization","Classify requirements based on priority and complexity","Product Owner, Sprint Planning"
"Information Extraction","Requirement Details","Extract specific details from requirements (e.g., actors, goals)","User Stories, Acceptance Criteria"
"Coreference Resolution","Requirement Clarification","Identify relationships between pronouns and entities","User Stories, Product Backlog Items"
"Text Summarization","Requirement Summary","Summarize long requirements into concise versions","Product Backlog Items, User Stories"
"Machine Learning","Requirement Prediction","Predict requirement complexity, effort, or priority","Product Owner, Sprint Planning"
"Requirements Ontology","Requirement Modeling","Create a knowledge graph of requirements and relationships","Product Backlog, Domain Model"
