ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_allocation,Project allocation,Boolean,{0,1},0,1
DV1,team_assignment,Team assignment,Integer,{0,1,2},0,2
DV2,worker_availability,Worker availability,Float,[0,1],0,1
DV3,feature_priority,Feature priority,Integer,[1,10],1,10
DV4,task_effort,Task effort,Integer,[1,100],1,100
DV5,sprint_goal_achievement,Sprint goal achievement,Float,[0,1],0,1
DV6,stakeholder_influence,Stakeholder influence,Integer,[1,10],1,10
DV7,development_snapshot_test_status,Development snapshot test status,Float,[0,1],0,1
DV8,release_plan_status,Release plan status,Float,[0,1],0,1
DV9,roadmap_milestones,Roadmap milestones,Integer,[1,10],1,10
DV10,scrum_board_columns,Scrum board columns,Integer,[1,10],1,10
DV11,product_backlog_number_of_entries,Product backlog number of entries,Integer,[1,100],1,100
DV12,user_story_story_points,User story story points,Integer,[1,10],1,10
DV13,task_type,Task type,Categorical,{development,testing},0,1
DV14,blocker_severity,Blocker severity,Integer,[1,10],1,10
