ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,MaxVelocity,Maximize average team velocity,velocity_avg,Velocity;Sprint,Max,🟡
G2,MinCycleTime,Minimize average lead time per feature,cycle_time_avg,Feature;Development Snapshot,Min,🟢
G3,MaxQuality,Maximize quality score based on test coverage and bug count,quality_score,Development Snapshot,Max,🟢
G4,MinBugCount,Minimize number of open bugs at end of sprint,bug_count,Sprint;Blocker / Problem / Bug,Min,🟢
G5,MaxStakeholderSatisfaction,Maximize stakeholder satisfaction ratings,stakeholder_rating,Stakeholder;Sprint Review,Max,🟡
G6,MinCostVariance,Minimize variance between actual and budgeted cost,cost_variance,Project,Min,🟢
G7,MaxOnTimeDelivery,Maximize percentage of features delivered on or before deadline,on_time_pct,Feature;Product Backlog,Max,🟢
G8,MinBlockers,Minimize average number of blocker incidents per sprint,blocker_count,Sprint;Blocker / Problem / Bug,Min,🟢
G9,MaxTeamUtilization,Maximize ratio of actual effort to available capacity,utilization_rate,Team;Worker / Employee,Max,🟡
G10,MinOvertime,Minimize total overtime hours across all team members,overtime_hours,Worker / Employee;Sprint,Min,🔴
