ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Binary: team t is assigned to project p,binary,{0,1},0,1
DV1,assign_worker_to_team,Binary: worker w belongs to team t,binary,{0,1},0,1
DV2,worker_has_skill,Binary: worker w has skill s,binary,{0,1},0,1
DV3,worker_takes_role,Binary: worker w takes role r,binary,{0,1},0,1
DV4,po_manages_backlog,Binary: product owner po manages backlog pb,binary,{0,1},0,1
DV5,sm_supports_team,Binary: scrum master sm supports team t,binary,{0,1},0,1
DV6,backlog_contains_feature,Binary: product backlog pb contains feature f,binary,{0,1},0,1
DV7,epic_contains_user_story,Binary: epic e contains user story us,binary,{0,1},0,1
DV8,user_story_in_sprint_backlog,Binary: user story us is in sprint backlog sbl,binary,{0,1},0,1
DV9,sprint_backlog_in_sprint,Binary: sprint backlog sbl belongs to sprint sp,binary,{0,1},0,1
DV10,sprint_pursues_goal,Binary: sprint sp pursues sprint goal sg,binary,{0,1},0,1
DV11,scrum_board_contains_task,Binary: scrum board scb contains task tsk,binary,{0,1},0,1
DV12,task_blocked_by,Binary: task tsk is blocked by blocker bl,binary,{0,1},0,1
DV13,stakeholder_participates_in_review,Binary: stakeholder sh participates in sprint review sr,binary,{0,1},0,1
DV14,user_story_has_task,Binary: user story us consists of task tsk,binary,{0,1},0,1
