ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,project_priority_weight,Weight assigned to project priority ranking,float,"{0.0,1.0}",0.0,1.0
DV1,team_allocation_count,Number of teams assigned to a project,integer,"{0,1,2,3,4}",0,4
DV2,worker_load_percentage,Percentage of full-time equivalent assigned to sprint,float,"{0.0,0.25,0.5,0.75,1.0}",0.0,1.0
DV3,sprint_length_days,Number of days in a sprint,integer,"{5,10,14,21,30}",5,30
DV4,task_priority_rank,Priority rank of a task within sprint,integer,"{1,2,3,4,5}",1,5
DV5,feature_estimated_effort,Estimated effort for a feature (in story points),integer,"{1,2,3,5,8,13}",1,13
DV6,planned_release_version,Version number for planned release,float,"{1.0,2.0,...,5.0}",1.0,5.0
DV7,documentation_completeness,Completeness score of feature documentation (0-100%),float,"{0.0,0.1,...,1.0}",0.0,1.0
DV8,blocker_resolution_time,Expected days to resolve a blocker,integer,"{1,2,3,5,7,14}",1,14
DV9,velocity_prediction,Forecasted velocity for next sprint (story points),integer,"{5,10,15,20,25,30}",5,30
DV10,meeting_duration_minutes,Duration of Scrum event in minutes,integer,"{15,30,60,90,120}",15,120
DV11,worker_skill_level,Skill level of a worker (e.g., junior to expert),integer,"{1,2,3,4,5}",1,5
DV12,retrospective_satisfaction,Team satisfaction score from retrospective,integer,"{1,2,3,4,5}",1,5
DV13,goal_achievement_score,Achievement level of sprint goal (0-100%),float,"{0.0,0.1,...,1.0}",0.0,1.0
DV14,feature_inclusion_flag,Whether a feature is included in next release,boolean,"{0,1}",0,1
