ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assignment_project_team,Assignment of team to project,Integer,{0,1},0,1
DV1,assignment_worker_team,Assignment of worker to team,Integer,{0,1},0,1
DV2,assignment_worker_skill,Assignment of skill to worker,Integer,{0,1},0,1
DV3,assignment_worker_role,Assignment of role to worker,Integer,{0,1},0,1
DV4,selection_product_backlog_item,Selection of feature/epic for backlog,Integer,{0,1},0,1
DV5,selection_sprint_goal,Choice of sprint goal objective,String,,1,5
DV6,planning_sprint_duration,Planned length of sprint in days,Integer,,1,30
DV7,task_effort_estimation,Estimated effort for a task,Integer,,1,40
DV8,story_point_estimation,Story points assigned to a user story,Integer,,1,13
DV9,blocker_resolution_time,Estimated time to resolve a blocker (days),Integer,,0,60
DV10,release_version_number,Version number for a release,Float,,1.0,10.0
DV11,documentation_update_frequency,Frequency of documentation updates per sprint,Integer,,0,5
DV12,team_satisfaction_target,Target satisfaction level for retrospectives,Integer,,1,5
DV13,velocity_prediction,Predicted velocity for next sprint,Integer,,5,50
DV14,deployment_target_selection,Choice of deployment environment,Integer,{0,1,2},0,2
