ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Number of Sprints,Total number of Sprints to plan,NumSprints,Project,Integer,1,52
DV2,Team Size,Number of team members assigned,TeamSize,Team,Integer,3,9
DV3,Sprint Length,Sprint duration in days,SprintDays,Sprint,Integer,7,28
DV4,Features per Sprint,Count of Features allocated,FeaturesPerSprint,Sprint Backlog,Integer,1,10
DV5,Hours per Task,Estimated work hours per Task,TaskHours,Task / Sub-Task,Float,0.5,40
DV6,Budget Allocation per Phase,Percentage of Budget per release phase,BudgetPct,Release Plan,Float,0,100
DV7,Developer Count,Number of developers assigned,DevCount,Team,Integer,1,8
DV8,QA Count,Number of QA/testers assigned,QACount,Team,Integer,1,4
DV9,Backlog Items per Sprint,User Stories assigned per Sprint,StoriesPerSprint,Sprint Backlog,Integer,1,20
DV10,Scrum Masters per Team,SMs assigned to Team,SMCount,Team,Integer,1,2
