ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,project_start_date,Project start date,date,{YYYY-MM-DD},2022-01-01,2024-12-31
D1,team_size,Integer team size,integer,{0,1,2,...},1,10
D2,blocker_resolution_time,Integer blocker resolution time,integer,{0,1,2,...},1,30
D3,sprint_goal_achievement,Boolean sprint goal achievement,boolean,{0,1},0,1
D4,task_assignment,Boolean task assignment,boolean,{0,1},0,1
D5,feature_development_status,Integer feature development status,integer,{0,1,2,...},0,100
D6,product_owner_availability,Boolean product owner availability,boolean,{0,1},0,1
D7,scrum_master_experience,Integer scrum master experience,integer,{0,1,2,...},1,10
D8,stakeholder_participation,Boolean stakeholder participation,boolean,{0,1},0,1
D9,release_plan_delay,Integer release plan delay,integer,{0,1,2,...},0,30
D10,roadmap_objectives,Integer roadmap objectives,integer,{0,1,2,...},1,10
D11,scrum_board_productivity,Integer scrum board productivity,integer,{0,1,2,...},1,100
D12,development_snapshot_test_status,Integer development snapshot test status,integer,{0,1,2,...},0,100
