ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV01,Team Assignment,Which team is assigned to which project,assign_team,Team,String,,
DV02,Employee Task Allocation,Assign tasks to employees,assign_task,Employee,String,,
DV03,Sprint Length,Length of each sprint in days,sprint_length,Sprint,Integer,7,30
DV04,Max Team Size,Maximum size per development team,max_team_size,Team,Integer,3,10
DV05,Feature Priority,Assigned priority of features,feature_priority,Feature,Integer,1,5
DV06,Skill Match Threshold,Minimum skill level required for task assignment,skill_threshold,Skill / Competence,Integer,1,5
DV07,Task Effort,Effort estimation per task in hours,task_effort,Task / Sub-Task,Integer,1,40
DV08,Backlog Size,Number of items in sprint backlog,backlog_size,Sprint Backlog,Integer,5,30
DV09,Available Budget,Assigned budget for a project,project_budget,Project,Float,10000,500000
DV10,Velocity Constraint,Expected average story points per sprint,velocity_expectation,Velocity,Integer,10,100
