ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Team Size Limit,Maximum allowed team size based on cross-functionality,limit_team_size,Team,Max,🟢
C02,Skill Match Requirement,Employees assigned must have necessary skills,skill_match_required,Employee,Min,🟢
C03,Feature Must Be Reviewed,Every feature must go through a sprint review,require_feature_review,Feature,Min,🟢
C04,Product Owner Availability,Product Owner must be available to manage backlog,po_availability_required,Product Owner,Min,🟢
C05,Scrum Master Moderates Retrospective,Scrum Master should moderate retrospective,scrum_master_moderates,Scrum Master,Min,🟡
C06,Workload Balance,Avoid overloading any single team or worker,balance_workload,Team,Min,🟢
C07,Backlog Contains Features,Every backlog must contain at least one feature,backlog_has_features,Product Backlog,Min,🟢
C08,No Overlapping Tasks,Tasks must not overlap in time for same worker,no_task_overlap,Task / Sub-Task,Min,🟢
C09,Certified Skills Preferred,Prefer certified skills in assignments,prefer_certified_skills,Skill / Competence,Max,🟡
C10,Priority Alignment,Tasks chosen should align with project or feature priority,align_priority,Task / Sub-Task,Max,🟡
