ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Assignment of worker to a specific task,integer,"{0,1}",0,1
DV1,task_effort_allocation,Planned effort (in hours) assigned to a task,float,,0,40
DV2,sprint_duration,Sprint length in days,integer,,5,30
DV3,team_size,Number of members in a team,integer,,3,15
DV4,story_points_estimate,Estimated story points for a user story,integer,,1,13
DV5,worker_availability_percentage,Percentage of time a worker is available,float,,0,100
DV6,feature_priority_level,Priority level of a feature (1-5),integer,,1,5
DV7,blocker_severity_level,Severity level of a blocker (1-10),integer,,1,10
DV8,velocity_avg_story_points,Average story points completed per sprint,float,,0,50
DV9,planned_release_version,Version number for a release (e.g., 1.0),float,,1.0,5.0
DV10,number_of_sprints_in_velocity,Number of sprints used to calculate velocity,integer,,3,10
DV11,scrum_board_column_count,Number of columns on the Scrum Board (e.g., To Do, In Progress, Done),integer,,2,10
DV12,documentation_change_count,Number of changes logged in documentation,integer,,0,100
DV13,daily_scrum_duration_minutes,Duration of daily scrum in minutes,integer,,10,30
DV14,team_satisfaction_score,Satisfaction score from retrospective (1-10),integer,,1,10
