ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,"Binary decision: Assign a specific User Story to a specific Sprint (1 if yes, 0 if no).",Binary,"{0,1}",0,1
DV1,assign_worker_to_task,"Binary decision: Assign a specific Worker to a specific Task (1 if yes, 0 if no).",Binary,"{0,1}",0,1
DV2,assign_worker_to_team,"Binary decision: Assign a specific Worker to a specific Team (1 if yes, 0 if no).",Binary,"{0,1}",0,1
DV3,select_feature_for_release,"Binary decision: Include a specific Feature in a specific Release Plan (1 if yes, 0 if no).",Binary,"{0,1}",0,1
DV4,start_date_of_sprint,"Integer variable representing the start day of a sprint (e.g., day number from project start).",Integer,N,1,730
DV5,task_sequence_order,"Integer variable defining the order in which tasks for a user story should be executed.",Integer,N,1,100
DV6,team_size_for_project,"Integer variable determining the number of workers assigned to a team for a project.",Integer,N,3,10
DV7,effort_allocated_to_task,"Continuous variable for the number of hours allocated to a specific task.",Continuous,R+,0.5,40
DV8,sprint_count_for_release,"Integer variable defining how many sprints are planned for a particular release.",Integer,N,1,20
DV9,budget_allocated_to_feature,"Continuous variable representing the portion of the project budget allocated to a specific feature.",Continuous,R+,1000,50000
DV10,worker_availability_percentage,"Continuous variable setting the percentage of a worker's time available for project work.",Continuous,"[0,1]",0,1
