ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,schedule_story_us_s,1 if user story is scheduled in sprint; 0 otherwise,Binary,{0,1},0,1
DV1,assign_task_tsk_w,1 if task is assigned to worker; 0 otherwise,Binary,{0,1},0,1
DV2,include_feature_rep_f,1 if feature is included in a release plan; 0 otherwise,Binary,{0,1},0,1
DV3,mitigate_blocker_bl,1 if blocker is mitigated/removed for planning; 0 otherwise,Binary,{0,1},0,1
DV4,activate_sprint_s,1 if sprint is active/selected; 0 otherwise,Binary,{0,1},0,1
DV5,allocate_effort_w_s,Fraction of worker availability allocated to sprint s,Continuous,[0,1],0,1
DV6,budget_spent_p,Normalized fraction of budget consumed by project,Continuous,[0,1],0,1
DV7,story_points_committed_s,Total story points committed in sprint,Integer,Z+,0,1000
DV8,deploy_snapshot_s,1 if a development snapshot is produced for sprint; 0 otherwise,Binary,{0,1},0,1
DV9,choose_goal_sg_s,1 if sprint s pursues sprint goal sg; 0 otherwise,Binary,{0,1},0,1
DV10,select_team_for_project_t_p,1 if team t is assigned to project p; 0 otherwise,Binary,{0,1},0,1
DV11,setup_daily_scrum_duration_ds,Chosen duration (minutes) for a daily scrum,Integer,[0,30],0,30
DV12,select_feature_f,1 if feature is selected for current planning scope,Binary,{0,1},0,1
