ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,Increase average story‐points completed per sprint,MaximizeVelocity,Team,Max,🟢
G2,Minimize Defect Rate,Reduce number of defects per release,MinimizeDefects,Development Snapshot,Min,🟢
G3,Maximize Stakeholder Satisfaction,Improve average stakeholder feedback score,MaximizeSatisfaction,Stakeholder,Max,🟡
G4,Maximize Customer Feedback,Increase number of feedback sessions per release,MaximizeFeedback,Sprint Review,Max,🟡
G5,Maximize ROI,Increase return on investment for each project cycle,MaximizeROI,Project,Max,🟡
G6,Minimize Time‐to‐Market,Shorten duration from project start to first release,MinimizeTimeToMarket,Project,Min,🟢
G7,Maximize Team Utilization,Improve percentage of billable hours,MaximizeUtilization,Team,Max,🟡
G8,Minimize Budget Variance,Keep actual spend within budget targets,MinimizeBudgetVariance,Project,Min,🟢
G9,Maximize Code Coverage,Raise test coverage percentage at sprint end,MaximizeCoverage,Development Snapshot,Max,🟢
G10,Maximize Release Predictability,Increase percentage of releases delivered on schedule,MaximizePredictability,Release Plan,Max,🟢
