ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Budget Utilization Limit,Ensure project spending does not exceed budget,BudgetUtilization,Project,Min,🟢
C2,Max Sprint Duration,Prevent sprints longer than allowed,SprintDuration, Sprint,Max,🟢
C3,Minimum Skill Coverage,Ensure all required skills are present,SkillCoverage,Team,Min,🟢
C4,Regulatory Compliance,Must comply with industry regulations,ComplianceStatus,Project,Min,🟢
C5,Technical Debt Threshold,Limit acceptable technical debt per sprint,TechDebt,Development Snapshot,Max,🟡
C6,Overtime Hours Cap,Prevent excessive overtime per team member,OvertimeHours,Employee,Max,🔴
C7,Team Turnover Rate,Ensure turnover stays within healthy bounds,TurnoverRate,Team,Max,🔴
C8,External Dependencies,No unresolved external dependencies,DependencyStatus,Feature,Min,🟢
C9,Acceptance Criteria Completeness,User stories must include criteria,AcceptanceCriteria,User Story,Min,🟢
C10,Defect Density Limit,Keep defects per KLOC below threshold,DefectDensity,Development Snapshot,Max,🟢
