ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_completed_story_points,Maximize the total story points completed per sprint,True,max,UserStory,story_points,2,1.0
G1,minimize_open_blockers,Minimize the number of unresolved blockers at sprint end,True,min,Blocker,status,2,1.5
G2,maximize_team_velocity,Maximize average team velocity over the last 3 sprints,False,max,Velocity,avg._story_points,2,1.2
G3,minimize_task_effort_deviation,Minimize the difference between estimated and actual effort per task,True,min,Task,effort,1,0.8
G4,maximize_requirement_traceability,Maximize the percentage of user stories linked to tasks,True,max,SprintBacklog,number_of_tasks,2,1.0
G5,minimize_sprint_goal_failures,Minimize the number of sprints where the goal was not achieved,True,min,SprintGoal,achievement_status,2,1.8
G6,maximize_stakeholder_participation,Maximize the number of stakeholders attending sprint reviews,True,max,Stakeholder,influence_level,1,0.9
G7,minimize_technical_debt_accumulation,Minimize the number of low-quality or overdue tasks,True,min,Task,status,0,1.3
G8,maximize_skill_coverage,Maximize the alignment of team skills with feature requirements,True,max,Skill,level,2,1.1
G9,minimize_schedule_slippage,Minimize the delay between planned and actual sprint end dates,True,min,Sprint,end_date,2,1.4
G10,maximize_documentation_completeness,Maximize the number of features with up-to-date documentation,False,max,FeatureDocumentation,creation_date,1,0.7
G11,minimize_worker_overload,Minimize the number of workers exceeding 100% availability,True,min,Worker,availability,2,1.6
G12,maximize_backlog_refinement_rate,Maximize the percentage of refined backlog items before sprint planning,False,max,ProductBacklog,number_of_entries,1,0.8
