Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
1,Constrained Optimization,CO,Optimization problems with constraints (equality or inequality).,NP-hard,Resource allocation with limits,10
2,Linear Programming,LP,Optimization of a linear objective function subject to linear equality/inequality constraints.,Polynomial (Simplex, Interior Point),Production planning,9
3,Integer Programming,IP,Optimization with integer variables; includes Mixed-Integer Programming (MIP).,NP-hard,Scheduling with discrete choices,8
4,Nonlinear Programming,NLP,Optimization with nonlinear objective or constraints.,NP-hard,Portfolio optimization,7
5,Quadratic Programming,QP,Optimization with a quadratic objective and linear constraints.,Polynomial (Quadratic algorithms),Portfolio risk minimization,6
6,Convex Optimization,CO,Optimization over convex sets with convex objective functions.,Polynomial (Interior Point),Signal processing,5
7,Stochastic Programming,SP,Optimization under uncertainty (e.g., probabilistic constraints).,NP-hard,Supply chain with demand variability,4
8,Dynamic Programming,DP,Optimization of sequential decision problems with overlapping subproblems.,Polynomial (Bellman equation),Inventory management,3
9,Combinatorial Optimization,CO,Optimization over discrete structures (e.g., graphs, permutations).,NP-hard,Traveling Salesman Problem,2
10,Multi-Objective Optimization,MOO,Optimization with multiple conflicting objectives.,NP-hard,Engineering design trade-offs,1
