ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_story_points_per_sprint,"Maximize the total number of story points completed in a sprint",True,max,UserStory,story_points,1,1.5
G1,minimize_project_budget,"Minimize the overall budget consumption of a project",True,min,Project,budget,1,1.0
G2,maximize_high_priority_feature_completion,"Prioritize and maximize the completion of features with the highest priority",True,max,Feature,priority,1,2.0
G3,minimize_unresolved_blockers,"Minimize the number of active blockers that impede progress",True,min,Blocker,status,1,2.5
G4,maximize_team_velocity,"Maximize the average amount of work a team can get done during a sprint",False,max,Velocity,avg._story_points,1,1.2
G5,maximize_sprint_goal_achievement,"Maximize the number of sprints that successfully achieve their defined sprint goal",True,max,Sprint,achievement_of_goal,1,1.8
G6,maximize_team_satisfaction,"Maximize the self-reported satisfaction of the team in retrospectives",False,max,SprintRetrospective,team_satisfaction,1,0.8
G7,maximize_high_priority_story_completion,"Prioritize and maximize the completion of user stories with the highest priority",True,max,UserStory,priority,1,1.5
G8,minimize_total_task_effort,"Minimize the sum of effort for all tasks within a sprint to improve efficiency",True,min,Task,effort,1,0.7
G9,maximize_stakeholder_influence,"Focus on features relevant to stakeholders with high influence",False,max,Stakeholder,influence_level,1,0.5
G10,minimize_epic_effort,"Minimize the estimated effort for large requirements (Epics)",True,min,Epic,estimated_effort,1,1.0
G11,maximize_project_priority,"Maximize focus on projects that have the highest overall priority",False,max,Project,priority,1,1.3
G12,minimize_task_completion_time,"Minimize the time it takes to complete individual tasks",True,min,Task,effort,1,0.9
