Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization where the objective function and constraints are linear.,Polynomial-time solvable with simplex or interior-point methods.,Maximize profit given production constraints.,10
9,Integer Programming,IP,Optimization where some or all decision variables are restricted to integers.,"NP-hard in general; solved with branch-and-bound, branch-and-cut.",Scheduling workers in shifts.,9
8,Nonlinear Programming,NLP,Optimization with a nonlinear objective or constraints.,May be non-convex; solved with gradient-based or heuristic methods.,Design optimization of an airplane wing.,8
7,Mixed-Integer Linear Programming,MILP,Linear programming with some integer variables.,"NP-hard; solved with branch-and-bound, branch-and-cut.",Facility location problem.,7
6,Convex Optimization,CO,Optimization where the objective and feasible set are convex.,Globally solvable efficiently using convex optimization algorithms.,Portfolio optimization.,6
5,Quadratic Programming,QP,Optimization with a quadratic objective and linear constraints.,Solvable in polynomial time if convex; NP-hard if non-convex.,Mean-variance portfolio optimization.,5
4,Stochastic Programming,SP,"Optimization under uncertainty, modeled with random variables.",Solved with scenario-based or decomposition methods.,Supply chain design under uncertain demand.,4
3,Dynamic Programming,DP,Optimization by breaking the problem into subproblems and solving recursively.,Polynomial time for certain structures; exponential in general.,Shortest path in a weighted graph.,3
2,Multi-objective Optimization,MOO,"Optimization with multiple objectives, often conflicting.",Pareto front solutions; solved with evolutionary or scalarization methods.,Trade-off between cost and environmental impact.,2
1,Combinatorial Optimization,CO,"Optimization over discrete structures like graphs, sets, permutations.",Often NP-hard; solved with exact or heuristic methods.,Traveling salesman problem.,1
