"ID","Name","Description","DataType","Domain","MinValue","MaxValue"
"D0","team_size","Number of team members",Integer,"{5,10,15}",5,15
"D1","sprint_goal_achievement_rate","Sprint goal achievement rate",Float,"[0,1]",0.5,1.0
"D2","feature_completion_rate","Feature completion rate",Float,"[0,1]",0.5,1.0
"D3","task_effort","Total task effort",Integer,"[0,1000]",0,1000
"D4","blocker_severity","Average blocker severity",Float,"[0,10]",0,10
"D5","stakeholder_satisfaction","Stakeholder satisfaction",Float,"[0,1]",0.5,1.0
"D6","product_backlog_quality","Product backlog quality",Float,"[0,1]",0.5,1.0
"D7","scrum_board_blocked_tasks","Blocked tasks on scrum board",Integer,"{0,1,2,3,4,5}",0,5
"D8","release_plan_included_features","Features included in release plan",Integer,"{5,10,15}",5,15
"D9","roadmap_risk","Roadmap risk",Float,"[0,10]",0,10
"D10","team_collaboration","Team collaboration",Float,"[0,1]",0.5,1.0
"D11","worker_availability","Worker availability",Float,"[0,1]",0.5,1.0
"D12","product_owner_experience","Product owner experience",Integer,"{1,2,3,4,5}",1,5
"D13","development_snapshot_quality","Development snapshot quality",Float,"[0,1]",0.5,1.0
"D14","sprint_retrospective_improvement_actions","Number of improvement actions",Integer,"{0,1,2,3,4,5}",0,5
