"Keyword","Category","Description","RelevantScrumEntities"
"Requirement Extraction","NLP Task","Extract functional and non-functional requirements from natural language text","Product Backlog, User Stories"
"Named Entity Recognition","NLP Technique","Identify and categorize entities (e.g., actors, objects) in requirement texts","User Stories, Acceptance Criteria"
"Part-of-Speech Tagging","NLP Technique","Identify grammatical categories of words (e.g., nouns, verbs) in requirement texts","User Stories, Acceptance Criteria"
"Dependency Parsing","NLP Technique","Analyze grammatical structure of requirement sentences","User Stories, Acceptance Criteria"
"Sentiment Analysis","NLP Task","Determine sentiment (e.g., positive, negative) of stakeholders towards requirements","Stakeholder Feedback, Sprint Review"
"Topic Modeling","NLP Task","Identify underlying themes and topics in large requirement datasets","Product Backlog, Release Planning"
"Text Classification","NLP Task","Classify requirements into categories (e.g., functional, non-functional)","Product Backlog, User Stories"
"Information Retrieval","NLP Task","Retrieve relevant requirements from large datasets based on search queries","Product Backlog, Sprint Planning"
"Automated Complexity Analysis","NLP Application","Analyze linguistic complexity of requirements to estimate implementation effort","User Stories, Sprint Planning"
"Requirements Prioritization","NLP Application","Use NLP to prioritize requirements based on stakeholder feedback and sentiment analysis","Product Backlog, Sprint Planning"
"Requirements Ambiguity Detection","NLP Application","Identify ambiguous or unclear requirements using NLP techniques","User Stories, Acceptance Criteria"
