ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"Binary variable: 1 if worker (w) is assigned to task (tsk), 0 otherwise.",boolean,"{0,1}",0,1
DV1,assign_user_story_to_sprint,"Binary variable: 1 if user story (us) is assigned to sprint (sp), 0 otherwise.",boolean,"{0,1}",0,1
DV2,assign_feature_to_release,"Binary variable: 1 if feature (f) is included in release plan (rep), 0 otherwise.",boolean,"{0,1}",0,1
DV3,assign_worker_to_team,"Binary variable: 1 if worker (w) is a member of team (t), 0 otherwise.",boolean,"{0,1}",0,1
DV4,set_sprint_for_task,"Integer variable defining the sprint number (sp) in which a task (tsk) is scheduled.",integer,"N+",1,
DV5,determine_team_size,"Integer variable representing the number of workers in a team (t).",integer,"{3-9}",3,9
DV6,worker_allocation_percentage,"Continuous variable for the percentage of a worker's (w) availability allocated to a project (p).",continuous,"[0,100]",0,100
DV7,set_user_story_priority,"Integer variable to determine the priority ranking of a user story (us) in the product backlog.",integer,"{1-100}",1,100
DV8,start_date_of_sprint,"Date variable representing the calculated start date for a specific sprint (sp).",date,"YYYY-MM-DD",,
DV9,select_worker_for_role,"Binary variable: 1 if worker (w) is selected for a specific role (r), 0 otherwise.",boolean,"{0,1}",0,1
DV10,number_of_workers_on_team,"Integer variable determining the total number of workers assigned to a specific team (t).",integer,"N",1,20
