Rank,Name,Abbreviation,Description,Solvability,Example,Appearances
10,Linear Programming,LP,Optimization where the objective function and constraints are linear.,Polynomial time solvable,Minimize cost subject to resource constraints,10
9,Integer Programming,IP,Optimization where some or all decision variables are restricted to integers.,NP-hard,Scheduling workers in shifts,9
8,Mixed-Integer Programming,MIP,Optimization combining integer and continuous decision variables.,NP-hard,Supply chain network design,8
7,Quadratic Programming,QP,Optimization where the objective function is quadratic and constraints are linear.,Polynomial time solvable for convex case,Portfolio optimization,7
6,Nonlinear Programming,NLP,Optimization where the objective function or constraints are nonlinear.,Varies (can be NP-hard),Engineering design optimization,6
5,Convex Optimization,CO,Special case where the objective function is convex and the feasible region is a convex set.,Polynomial time solvable,Least squares regression,5
4,Combinatorial Optimization,CO,Optimization over a discrete set of feasible solutions.,NP-hard,Traveling salesman problem,4
3,Stochastic Programming,SP,Optimization under uncertainty with random variables in the constraints or objective.,Varies,Power grid operation planning,3
2,Dynamic Programming,DP,Optimization by breaking down problems into simpler subproblems.,Polynomial time solvable in many cases,Shortest path in graphs,2
1,Multi-objective Optimization,MOO,Optimization with multiple conflicting objectives.,Varies,"Balancing cost, quality, and time",1
