ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary variable, 1 if worker w is assigned to team t.,Binary,"{0,1}",0,1
DV1,assign_story_to_sprint,Binary variable, 1 if user story u is assigned to sprint s.,Binary,"{0,1}",0,1
DV2,assign_task_to_worker,Binary variable, 1 if task k is assigned to worker w.,Binary,"{0,1}",0,1
DV3,select_feature_for_release,Binary variable, 1 if feature f is selected for release plan r.,Binary,"{0,1}",0,1
DV4,set_sprint_start_date,The start date for a given sprint s.,Date,Date,2025-01-01,2030-12-31
DV5,set_sprint_end_date,The end date for a given sprint s.,Date,Date,2025-01-01,2030-12-31
DV6,select_feature_for_sprint,Binary variable, 1 if feature f is worked on in sprint s.,Binary,"{0,1}",0,1
DV7,set_story_points,The estimated story points for user story u.,Integer,N,1,100
DV8,order_sprints,The sequence number of sprint s in a project.,Integer,N,1,100
DV9,assign_team_to_project,Binary variable, 1 if team t is assigned to project p.,Binary,"{0,1}",0,1
DV10,resolve_blocker,Binary variable, 1 if action is taken to resolve blocker b in sprint s.,Binary,"{0,1}",0,1
DV11,assign_worker_skill,Binary variable, 1 if worker w has skill s.,Binary,"{0,1}",0,1
