ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Whether a worker is assigned to a team,Integer,{0,1},0,1
DV1,assign_task_to_sprint,Whether a task is assigned to a sprint,Integer,{0,1},0,1
DV2,set_sprint_duration,Duration of a sprint in days,Integer,{7,21},7,21
DV3,set_task_effort,Effort required for a task in hours,Integer,{1,40},1,40
DV4,set_blocker_severity,Severity level of a blocker,Integer,{1,5},1,5
DV5,set_feature_priority,Priority level of a feature,Integer,{1,5},1,5
DV6,set_worker_availability,Availability status of a worker,Integer,{0,1},0,1
DV7,set_sprint_goal_achievement,Percentage of sprint goal achievement,Integer,{0,100},0,100
DV8,set_velocity_trend,Trend of team velocity over sprints,Integer,{-1,1},-1,1
DV9,set_stakeholder_satisfaction,Satisfaction level of stakeholders,Integer,{1,5},1,5
DV10,set_team_skill_level,Level of a skill for a team member,Integer,{1,5},1,5
