ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_story_to_sprint,"Binary variable indicating if a User Story is assigned to the current Sprint Backlog.",boolean,"{0,1}",0,1
DV1,assign_worker_to_task,"Binary variable indicating if a Worker is assigned to a specific Task.",boolean,"{0,1}",0,1
DV2,select_feature_for_release,"Binary variable indicating if a Feature is included in a Release Plan.",boolean,"{0,1}",0,1
DV3,assign_worker_to_team,"Binary variable indicating if a Worker is assigned to a specific Team.",boolean,"{0,1}",0,1
DV4,set_team_size,"Integer variable determining the number of workers on a Team.",integer,,3,9
DV5,allocate_worker_availability,"Float variable representing the percentage of a Worker's time allocated to a sprint.",float,,0.0,1.0
DV6,set_sprint_start_date,"Date variable determining the start date of the next sprint.",date,,,
DV7,form_new_team,"Binary variable indicating if a new team should be formed.",boolean,"{0,1}",0,1
DV8,assign_scrum_master_to_team,"Binary variable indicating if a person is assigned as Scrum Master to a Team.",boolean,"{0,1}",0,1
DV9,set_task_effort,"Float variable to estimate or set the effort in hours for a Task.",float,,0.5,40.0
DV10,choose_blocker_to_resolve,"Binary variable to decide if a specific Blocker will be actively worked on in a sprint.",boolean,"{0,1}",0,1
DV11,set_story_story_points,"Integer variable to set the story points for a user story during backlog refinement.",integer,"{1,2,3,5,8,13,20}",1,20
