ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"Assign a worker w to a task tsk",binary,"{0,1}",0,1
DV1,assign_us_to_sprint,"Assign a user story us to a sprint sp",binary,"{0,1}",0,1
DV2,assign_feature_to_release,"Assign a feature f to a release plan rep",binary,"{0,1}",0,1
DV3,assign_team_to_project,"Assign a team t to a project p",binary,"{0,1}",0,1
DV4,set_feature_priority,"Set the priority for a feature f",integer,Z+,1,100
DV5,set_us_story_points,"Set the story points for a user story us",integer,Z+,1,100
DV6,set_sprint_start_date,"Define the start date for a sprint sp",integer,Z+,0,
DV7,set_sprint_end_date,"Define the end date for a sprint sp",integer,Z+,0,
DV8,assign_worker_to_team,"Assign a worker w to a team t",binary,"{0,1}",0,1
DV9,set_task_status,"Set the status (e.g., todo, in_progress, done) for a task tsk",string,"{todo, in_progress, done, blocked}",,
DV10,set_project_budget,"Define the budget for a project p",continuous,R+,0,
DV11,set_team_size,"Define the number of members for a team t",integer,Z+,3,9
