ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,"1 if Team t is assigned to Project p (R1)",binary,{0,1},0,1
DV1,assign_worker_to_team,"1 if Worker w belongs to Team t (R2)",binary,{0,1},0,1
DV2,assign_worker_to_role,"1 if Worker w takes Role r (R4)",binary,{0,1},0,1
DV3,assign_po_to_backlog,"1 if ProductOwner po manages ProductBacklog pb (R5)",binary,{0,1},0,1
DV4,assign_scrum_master_to_team,"1 if ScrumMaster sm supports Team t (R6)",binary,{0,1},0,1
DV5,put_feature_in_backlog,"1 if Feature f is in ProductBacklog pb (R7)",binary,{0,1},0,1
DV6,put_epic_in_backlog,"1 if Epic e is in ProductBacklog pb (R8)",binary,{0,1},0,1
DV7,link_userstory_to_epic,"1 if UserStory us belongs to Epic e (R9)",binary,{0,1},0,1
DV8,link_task_to_userstory,"1 if Task tk belongs to UserStory us (R10)",binary,{0,1},0,1
DV9,pick_userstory_into_sprint_backlog,"1 if UserStory us is in SprintBacklog sbl (R11)",binary,{0,1},0,1
DV10,link_sprint_backlog_to_sprint,"1 if SprintBacklog sbl belongs to Sprint sp (R12)",binary,{0,1},0,1
DV11,link_sprint_to_goal,"1 if Sprint sp pursues SprintGoal sg (R13)",binary,{0,1},0,1
DV12,show_task_on_scrum_board,"1 if Task tk appears on ScrumBoard scb (R14)",binary,{0,1},0,1
DV13,link_feature_doc_to_feature,"1 if FeatureDocumentation fed belongs to Feature f (R15)",binary,{0,1},0,1
DV14,link_sprint_to_development_snapshot,"1 if Sprint sp generates DevelopmentSnapshot dev (R22)",binary,{0,1},0,1
