ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Team Size,Number of developers assigned to a team,TeamSize,Team,Integer,3,9
DV2,Sprint Length,Scheduled duration of a sprint in days,SprintLength,Sprint,Integer,7,30
DV3,Features per Sprint,Number of features planned per sprint,FeaturesPerSprint,Sprint Backlog,Integer,1,20
DV4,Budget Allocation,Amount of budget allocated to project,BudgetAllocation,Project,Float,10000.0,1000000.0
DV5,Developer Hours Per Week,Work hours per developer per week,DevHoursPerWeek,Employee,Float,20.0,40.0
DV6,QA Hours Per Sprint,Testing hours allocated each sprint,QAHoursPerSprint,Sprint,Float,10.0,80.0
DV7,Code Coverage Target,Desired test coverage percentage,CoverageTarget,Development Snapshot,Float,0.0,100.0
DV8,Defect Density Threshold,Allowed defects per KLOC,DefectThreshold,Development Snapshot,Float,0.0,10.0
DV9,Story Points Committed,Total story points taken into sprint,StoryPointsCommitted,Sprint Backlog,Integer,5,50
DV10,Feedback Sessions,Number of stakeholder sessions per sprint,FeedbackSessions,Sprint Review,Integer,1,5
