ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_team,Binary decision to assign a worker to a team,Binary,"{0,1}",0,1
DV1,select_feature_for_release,Binary decision to include a feature in a release plan,Binary,"{0,1}",0,1
DV2,allocate_budget_to_project,Amount of budget allocated to a project,Integer,"Z+",0,10000000
DV3,set_sprint_velocity,The target velocity for a team in a sprint,Integer,"Z+",0,100
DV4,assign_story_points,The number of story points assigned to a user story,Integer,"Z+",1,20
DV5,set_worker_availability,The percentage availability of a worker,Continuous,"[0,1]",0,1
DV6,set_task_effort,The effort in hours required for a task,Continuous,"R+",0.1,100
DV7,set_feature_priority,The priority level assigned to a feature,Integer,"{1,2,3,4,5,6,7,8,9,10}",1,10
DV8,set_blocker_severity,The severity level of a identified blocker,Integer,"{1,2,3,4,5}",1,5
DV9,set_sprint_goal_status,Binary status of whether the sprint goal was met,Binary,"{0,1}",0,1
