ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,assign_workers_to_teams,Assign each Worker to a Team,binary,{0,1},0,1
D1,assign_tasks_to_sprints,Assign Tasks to Sprints,binary,{0,1},0,1
D2,set_feature_priorities,Set priority levels for Features,integer,{1,5},1,5
D3,assign_epics_to_backlogs,Associate Epics with Product Backlog,boolean,{true,false},false,true
D4,plan_sprint_goals,Determine Sprint Goals,text,"",,
D5,assign_user_stories_to_sprints,Assign User Stories to Sprints,binary,{0,1},0,1
D6,set_blocker_severity,Determine severity levels for Blockers,categorical,{"Low","Medium","High"},"Low","High"
D7,define_team_roles,Assign Roles within Teams,text,"",,
D8,assign_stakeholders_to_reviews,Invite Stakeholders to Sprint Reviews,binary,{0,1},0,1
D9,set_task_estimations,Estimate Task efforts in Story Points,number,[0, infinity),0,infinity
