ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_user_story_count,Maximize the number of completed User Stories,False,max,UserStory,status,2,1.0
G1,minimize_task_blockers,Minimize the number of active Blockers,False,min,Blocker,status,2,1.0
G2,maximize_sprint_velocity,Maximize the average Sprint Velocity,False,max,Velocity,avg._story_points,2,1.0
G3,maximize_feature_priority,Maximize the priority of delivered Features,False,max,Feature,priority,2,1.0
G4,minimize_deployment_time,Minimize deployment time for Development Snapshots,False,min,DevelopmentSnapshot,test_status,2,1.0
G5,maximize_stakeholder_feedback,Maximize stakeholder feedback during Sprint Reviews,False,max,SprintReview,feedback_documentation,2,1.0
G6,maximize_team_satisfaction,Maximize team satisfaction during Retrospectives,False,max,SprintRetrospective,team_satisfaction,2,1.0
G7,minimize_epic_estimation Effort,Minimize estimation effort for Epics,False,min,Epic,estimated_effort,2,1.0
G8,maximize_backlog_completion Rate,Maximize completion rate of Product Backlog items,False,max,ProductBacklog,status,2,1.0
G9,maximize_daily_scrum_participation,Maximize participation in Daily Scrums,False,max,DailyScrum,moderation,2,1.0
