ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,project_allocation,Allocation of resources to projects,Integer,{0,1},0,1
D1,team_size_decision,Decision on team size,Integer,{5,10,15},5,15
D2,worker_availability_threshold,Threshold for worker availability,Float,[0,1],0,1
D3,blocker_resolution_priority,Priority for resolving blockers,Integer,{1,2,3},1,3
D4,sprint_goal_achievement_target,Target for sprint goal achievement,Float,[0,1],0,1
D5,task_assignment,Assignment of tasks to workers,Integer,{0,1},0,1
D6,feature_development_priority,Priority for feature development,Integer,{1,2,3},1,3
D7,stakeholder_participation_level,Level of stakeholder participation,Float,[0,1],0,1
D8,product_owner_availability_threshold,Threshold for product owner availability,Float,[0,1],0,1
D9,scrum_master_experience_requirement,Requirement for scrum master experience,Integer,{1,5},1,5
D10,development_snapshot_frequency,Frequency of development snapshots,Integer,{1,4},1,4
D11,release_plan_inclusion_criteria,Criteria for including features in release plans,Integer,{1,3},1,3
D12,roadmap_objective_weight,Weight for roadmap objectives,Float,[0,1],0,1
D13,sprint_backlog_status_update,Update status of sprint backlog,Integer,{0,1},0,1
D14,scrum_board_update_frequency,Frequency of scrum board updates,Integer,{1,7},1,7
