ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,require_product_owner_assigned,Each project must have a product owner,False,min,ProductOwner,status,2,1.0
C1,ensure_team_has_scrum_master,Every team must be supported by a Scrum Master,False,min,Team,team_status,2,1.0
C2,enforce_sprint_duration_limit,All sprints must not exceed 30 days,False,min,Sprint,end_date,2,1.0
C3,limit_work_in_progress,Maximum 5 tasks can be in 'in-progress' state at once,False,min,Task,status,2,0.9
C4,require_user_story_acceptance_criteria,All user stories must have defined acceptance criteria,False,min,UserStory,acceptance_criteria,2,1.0
C5,prevent_duplicate_worker_emails,No two workers should share the same email,True,min,Worker,email,0,1.0
C6,enforce_task_belongs_to_story,Each task must belong to exactly one user story,False,min,Task,id,2,1.0
C7,ensure_feature_priority_defined,All features must have a non-null priority,False,min,Feature,priority,2,1.0
C8,require_sprint_goal_defined,Every sprint must have a defined goal,False,min,SprintGoal,objective_description,2,1.0
C9,limit_worker_to_one_team,Each worker can belong to only one team,False,min,Worker,id,0,1.0
C10,enforce_unique_project_names,Project names must be unique across all projects,True,min,Project,name,0,1.0
C11,ensure_blocker_has_severity,All blockers must have a severity level,False,min,Blocker,severity,2,0.9
C12,require_velocity_calculation,Each team must have an associated velocity,False,min,Velocity,id,2,1.0
C13,prevent_future_sprint_overlap,Sprints cannot overlap in time,False,min,Sprint,start_date,0,1.1
