ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Project Budget Constraint,Project budget must not be exceeded,BudgetConstraint,Project,Min,🟢
C2,Team Size Constraint,Team size must be within predefined limits,TeamSizeLimit,Team,Min,🟢
C3,Employee Availability Constraint,Employees must be available for assigned sprint tasks,EmployeeAvailability,Employee,Min,🟢
C4,Skill Match for Task,Employees assigned to tasks must have the required skills,SkillMatch,Employee; Task,Min,🟢
C5,Sprint Duration Constraint,Sprint must start and end within fixed dates,SprintDuration,Sprint,Min,🟢
C6,Sprint Goal Achievement,Sprint goals must be achieved at a minimum level,SprintGoalAchievement,Sprint; Sprint Goal,Min,🟢
C7,Blocker Limit,Number of unresolved blockers should not exceed threshold,BlockerLimit,Blocker / Problem / Bug,Max,🔴
C8,Release Plan Feature Coverage,Release plan must include all critical features,ReleaseFeatureCoverage,Release Plan; Feature,Min,🟢
C9,Task Effort Limits,Tasks should have effort estimates within min and max,TaskEffortLimits,Task / Sub-Task,Min,🟢
C10,Product Backlog Status,Product backlog status must be active to proceed with sprint planning,ProductBacklogStatus,Product Backlog,Min,🟢
