ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,x_team_project,1 if team t is assigned to project p else 0,binary,{0,1},0,1
DV1,y_worker_team,1 if worker w belongs to team t else 0,binary,{0,1},0,1
DV2,sm_team_assignment,1 if Scrum Master sm supports team t else 0,binary,{0,1},0,1
DV3,po_manages_pb,1 if Product Owner po manages Product Backlog pb else 0,binary,{0,1},0,1
DV4,feature_in_pb,1 if feature f is contained in Product Backlog pb else 0,binary,{0,1},0,1
DV5,epic_in_pb,1 if epic ep is contained in Product Backlog pb else 0,binary,{0,1},0,1
DV6,story_in_epic,1 if user story us is contained in epic ep else 0,binary,{0,1},0,1
DV7,task_in_story,1 if task ts is contained in user story us else 0,binary,{0,1},0,1
DV8,story_in_sbl,1 if user story us is assigned to sprint backlog sbl else 0,binary,{0,1},0,1
DV9,sbl_in_sprint,1 if sprint backlog sbl belongs to sprint sp else 0,binary,{0,1},0,1
DV10,task_on_board,1 if task ts appears on scrum board scb else 0,binary,{0,1},0,1
DV11,feature_in_release,1 if feature f is included in release plan rep else 0,binary,{0,1},0,1
DV12,pursue_sp_goal,1 if sprint sp pursues sprint goal sg else 0,binary,{0,1},0,1
