ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,must_have_documented_features,The feature must have documentation.,False,min,Feature,documentation,,1,1.0
C1,may_have_a_minimum_story_points,The User Story must have at least 1 story point.,False,min,UserStory,story_points,1,1.0
C2,must_have_a_tested_feature,The feature must have been tested.,False,min,Feature,status,1,1.0
C3,may_have_a_minimum_task_effort,The task has a minimum effort of 0.5.,False,min,Task,effort,1,1.0
C4,must_have_a_resolved_blocker,The blocker issue must be resolved.,False,min,Blocker,status,1,1.0
C5,may_have_a_minimum_stakeholder_influence,The stakeholder must have a minimum influence of 1.0.,False,min,Stakeholder,influence_level,1,1.0
C6,must_have_a_tested_task,The task has to be tested.,False,min,Task,status,1,1.0
C7,may_have_a_minimum_stakeholder_feedback,The stakeholder must provide at least one feedback.,False,min,Stakeholder,relevance_to_feature,1,1.0
C8,must_have_documented_feature_documentation,Documentation has to exist.,False,min,FeatureDocumentation,creation_date,1,1.0
C9,may_have_a_minimum_task_effort_of_one,The task needs at least 1 effort.,False,min,Task,effort,1,1.0
C10,must_have_documented_user_stories,User stories must be documented.,False,min,UserStory,description,1,1.0
