ModelKey,MessageIndex,Predicted_Keywords,Matched_Keywords,Precision,Recall,F1,TP,FP,FN,Text
mistral-strategy1-v7,1,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,2,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,3,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,4,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,5,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,6,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,7,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,8,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,9,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,10,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,11,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,12,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,13,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,14,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,15,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,16,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,17,,,0.0,0.0,0.0,0,0,235,<empty>
mistral-strategy1-v7,18,,,0.0,0.0,0.0,0,0,235,<empty>
