ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C01,Must Maintain Team Size,Team size must not fall below a minimum,MinTeamSize,Team,Min,🟢
C02,Must Assign Roles,Each employee must have at least one role,AssignRoles,Employee,Max,🟢
C03,Must Not Exceed Budget,Project budget must not be exceeded,MaxBudget,Project,Max,🟢
C04,Must Have Certified Skills,Tasks requiring certification must be assigned accordingly,CertifiedSkills,Skill,Max,🟢
C05,Cannot Assign Blocked Tasks,Blocked tasks cannot be assigned to employees,BlockAssignment,Task / Sub-Task,Min,🔴
C06,Can Match Preferred Location,Prefer assigning team members in same location,LocationMatch,Team,Max,🟡
C07,Must Complete Sprint Backlog,All sprint backlog tasks must be completed,CompleteSprintBacklog,Sprint Backlog,Max,🟢
C08,Cannot Exceed Max Workload,No employee should exceed max availability,MaxWorkload,Employee,Max,🔴
C09,Must Update Documentation,Features must have updated documentation,UpdateDocs,Feature Documentation,Max,🟢
C10,Can Prioritize High Priority Features,Prefer working on high priority features first,PriorityFeatures,Feature,Max,🟡
