ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,Binary decision if a user story is in a sprint,Binary,{0,1},0,1
DV1,allocate_worker_to_team,Binary decision for worker–team assignment,Binary,{0,1},0,1
DV2,select_feature_for_release,Binary selection of a feature into a release,Binary,{0,1},0,1
DV3,task_hours,Continuous hours allocated to a task,Real,,0,80
DV4,set_story_points,Integer adjustment of story points for planning,Integer,,1,21
DV5,team_capacity,Integer capacity (points) planned for a sprint,Integer,,0,200
DV6,deploy_increment,Binary decision to deploy a development snapshot,Binary,{0,1},0,1
DV7,prioritize_epic_rank,Integer rank position of an epic in backlog,Integer,,1,100
DV8,feature_priority_rank,Integer rank position of a feature in backlog,Integer,,1,500
DV9,activate_blocker_resolution,Binary flag to trigger blocker resolution workflow,Binary,{0,1},0,1
DV10,set_review_attendees,Integer target number of review attendees,Integer,,0,50
DV11,set_number_of_tasks,Integer number of tasks planned for sprint backlog,Integer,,0,500
DV12,set_total_effort,Continuous total effort planned for sprint backlog,Real,,0,1000
