ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_team_to_project,Whether team t is assigned to project p for the planning horizon,binary,{0,1},0,1
DV1,assign_worker_to_team,Whether worker w is assigned to team t,binary,{0,1},0,1
DV2,assign_story_to_sprint,Whether user story us is scheduled into sprint sp,binary,{0,1},0,1
DV3,plan_task_in_sprint_backlog,Whether task k is included in a sprint backlog,binary,{0,1},0,1
DV4,select_feature_in_release,Whether feature f is included in a release plan,binary,{0,1},0,1
DV5,choose_product_owner_for_backlog,Whether product owner po manages product backlog pb,binary,{0,1},0,1
DV6,choose_scrum_master_for_team,Whether scrum master sm supports team t,binary,{0,1},0,1
DV7,set_story_priority,Assigned operational priority for a user story,integer,[1,5],1,5
DV8,set_task_effort,Planned effort (hours) for a task after refinement,integer,[1,40],1,40
DV9,set_team_capacity,Planned capacity (story points) for a team in a sprint,integer,[0,1000],0,1000
DV10,allocate_project_budget,Allocated budget (currency units) to a project,continuous,[0,1000000],0,1000000
DV11,schedule_daily_scrum_time,Start time of Daily Scrum in 24h format (decimal hours),continuous,[0,24],0,24
