ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,"Binary variable: 1 if a worker is assigned to a task, 0 otherwise.",binary,"{0,1}",0,1
DV1,assign_story_to_sprint,"Binary variable: 1 if a user story is included in a sprint, 0 otherwise.",binary,"{0,1}",0,1
DV2,assign_team_to_project,"Binary variable: 1 if a team is assigned to a project, 0 otherwise.",binary,"{0,1}",0,1
DV3,set_feature_priority,Determines the priority level for a feature.,integer,"{1,2,3,4,5}",1,5
DV4,set_sprint_start_date,The start date for a given sprint.,date,,2025-01-01,2030-12-31
DV5,set_task_status,Sets the status of a task.,string,"{'todo', 'in_progress', 'done'}",,
DV6,set_story_points,Assigns story points to a user story.,integer,,1,21
DV7,assign_worker_to_team,"Binary variable: 1 if a worker is assigned to a team, 0 otherwise.",binary,"{0,1}",0,1
DV8,select_feature_for_release,"Binary variable: 1 if a feature is included in a release plan, 0 otherwise.",binary,"{0,1}",0,1
DV9,set_worker_availability,Determines the availability percentage for a worker.,float,,0.0,1.0
DV10,set_blocker_status,Sets the status of a blocker.,string,"{'open', 'in_progress', 'resolved'}",,
