ModelKey,MessageIndex,Predicted_Keywords,Matched_Keywords,Precision,Recall,F1,TP,FP,FN,Text
ms-copilot-strategy1-v3,1,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,2,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,3,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,4,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,5,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,6,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,7,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,8,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,9,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,10,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,11,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,12,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,13,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,14,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,15,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,16,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,17,,,0.0,0.0,0.0,0,0,235,<empty>
ms-copilot-strategy1-v3,18,,,0.0,0.0,0.0,0,0,235,<empty>
