ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Team Size Limit,Ensure each Scrum team has no more than 9 members,team_size_max,Team,Max,🟢
C2,Developer Availability,Maintain at least 80% availability per developer,developer_availability_min,Worker / Employee,Min,🟢
C3,Skill Level Threshold,Require skill level of at least 3 for key competencies,skill_level_min,Skill / Competence,Min,🟢
C4,Sprint Duration Limit,Keep sprint length at most 14 days,sprint_duration_max,Sprint,Max,🟢
C5,Sprint Planning Duration,Allocate no more than 120 minutes for sprint planning,sprint_planning_duration_max,Sprint Planning,Max,🟡
C6,Daily Scrum Duration,Limit daily stand-up meetings to 15 minutes,daily_scrum_duration_max,Daily Scrum,Max,🟢
C7,Retrospective Action Items,Cap action items from retrospectives to 5 per sprint,retrospective_actions_max,Sprint Retrospective,Max,🟡
C8,Defect Resolution Time,Resolve bugs within 2 days of detection,defect_resolution_time_max,Blocker / Problem / Bug,Max,🟢
C9,Code Coverage Minimum,Require at least 80% test coverage,code_coverage_min,Development Snapshot,Min,🟡
C10,Story Points per Sprint,Plan for at least 20 story points per sprint,story_points_per_sprint_min,Sprint Backlog,Min,🟡
C11,Backlog Items per Sprint,Select no more than 20 backlog items for a sprint,backlog_items_sprint_max,Sprint Backlog,Max,🟡
