ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_project_priority,Maximize the priority of projects,True,max,Project,priority,2,1.2
G1,maximize_sprint_achievement,Maximize the achievement status of sprints,True,max,Sprint,achievement_of_goal,2,1.1
G2,maximize_team_availability,Maximize team members' availability,True,max,Worker,availability,1,1.0
G3,maximize_velocity_avg,Maximize average velocity per sprint,True,max,Velocity,avg._story_points,2,1.3
G4,maximize_stakeholder_relevance,Maximize stakeholder relevance to features,True,max,Stakeholder,relevance_to_feature,1,1.0
G5,minimize_project_budget,Minimize project budget,True,min,Project,budget,2,1.5
G6,minimize_task_effort,Minimize task effort,True,min,Task,effort,2,1.0
G7,maximize_sprint_goal_achievement,Maximize sprint goal achievement,True,max,SprintGoal,achievement_status,2,1.2
G8,maximize_feature_documentation,Maximize feature documentation completeness,True,max,FeatureDocumentation,description,1,1.1
G9,maximize_sprint_review_attendees,Maximize attendees in sprint reviews,True,max,SprintReview,attendees_count,1,1.0
G10,maximize_team_size,Maximize team size,True,max,Team,team_size,1,1.0
G11,maximize_story_points,Maximize user story story points,True,max,UserStory,story_points,2,1.2
G12,maximize_sprint_planning_duration,Maximize sprint planning meeting duration,True,max,SprintPlanning,duration_(min),1,1.0
