ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
C0,ensure_project_target_audience,Ensure projects have a defined target audience,False,,Project,target_audience,2,1.0
C1,ensure_team_type_valid,Ensure teams have a valid team type,False,,Team,team_type,2,1.0
C2,ensure_user_story_acceptance_criteria,Ensure user stories have acceptance criteria,False,,UserStory,acceptance_criteria,2,1.0
C3,ensure_sprint_backlog_status_valid,Ensure sprint backlogs have a valid status,False,,SprintBacklog,status,2,1.0
C4,ensure_velocity_min_max_range,Ensure velocity min/max values are valid,False,,Velocity,min_velocity,2,1.0
C5,ensure_sprint_goal_objective_defined,Ensure sprint goals have defined objectives,False,,SprintGoal,objective_description,2,1.0
C6,ensure_blocker_severity_valid,Ensure blockers have valid severity levels,False,,Blocker,severity,2,1.0
C7,ensure_team_location_defined,Ensure teams have a defined location,False,,Team,location,2,1.0
C8,ensure_stakeholder_interest_valid,Ensure stakeholders have defined areas of interest,False,,Stakeholder,area_of_interest,2,1.0
C9,ensure_sprint_duration_logical,Ensure sprint durations align with planning,False,,Sprint,achievement_of_goal,1,1.0
C10,ensure_feature_documentation_exists,Ensure features have documentation,False,,Feature,description,2,1.0
C11,ensure_daily_scrum_duration_valid,Ensure daily scrum duration is within bounds,False,,DailyScrum,duration,2,1.0
