ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
C1,Budget Cap,Project spend must not exceed allocated budget,BudgetLimit,Project,Max,🔴
C2,Team Size Range,Team must have between 3 and 9 members,TeamSize,Team,Max,🟢
C3,Sprint Duration,Fixed sprint length must be 1 to 4 weeks,SprintLength,Sprint,Min,🟢
C4,Skill Coverage,Every user story must be assigned to team with required skills,SkillMatch,User Story,Min,🟢
C5,Resource Availability,Workers must not be overbooked beyond availability,AvailabilityConstraint,Worker / Employee,Max,🟢
C6,Backlog Order,Features must follow priority order in backlog,BacklogPriority,Product Backlog,Min,🟢
C7,Deployment Window,Deployments only in approved time windows,DeployWindow,Development Snapshot,Min,🔴
C8,Meeting Cadence,Daily Scrum must occur every workday,DailyScrumCadence,Daily Scrum,Min,🟢
C9,Review Attendance,At least 70% stakeholders must attend reviews,AttendanceRate,Sprint Review,Min,🟡
C10,Retrospective Actions,All open retrospection actions must be closed next sprint,RetroActionClosure,Improvement Actions,Max,🟢
