ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Velocity,Achieve highest average story points per sprint,MaxVelocity,Velocity,Max,🟢
G2,Minimize Defects,Reduce the number of unresolved bugs per sprint,UnresolvedBugs,Blocker / Problem / Bug,Min,🟢
G3,Maximize Customer Satisfaction,Increase stakeholder approval ratings after reviews,StakeholderSatisfaction,Stakeholder,Max,🟢
G4,Minimize Cycle Time,Shorten average task completion time,AvgTaskDuration,Task / Sub-Task,Min,🟢
G5,Maximize Feature Throughput,Deliver the most features per release,FeaturesDelivered,Feature,Max,🟡
G6,Minimize Budget Overrun,Keep actual spend below budget,BudgetVariance,Project,Min,🔴
G7,Maximize Team Utilization,Ensure balanced workload across team members,TeamUtilization,Worker / Employee,Max,🟡
G8,Minimize Sprint Planning Time,Reduce duration of sprint planning meetings,PlanningDuration,Sprint Planning,Min,🟡
G9,Maximize Test Coverage,Increase percentage of code covered by tests,TestCoverage,Development Snapshot,Max,🟢
G10,Minimize Technical Debt,Lower cumulative unrefactored code items,TechDebtItems,Development Snapshot,Min,🔴
