ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Whether a specific worker is assigned to a specific task,Integer,{0,1},0,1
DV1,select_feature_for_sprint,Whether a specific feature is included in the current sprint,Integer,{0,1},0,1
DV2,select_user_story_for_sprint,Whether a specific user story is included in the current sprint,Integer,{0,1},0,1
DV3,set_sprint_velocity,The planned velocity for the upcoming sprint,Integer,"Z+",5,50
DV4,allocate_budget_to_feature,The amount of budget allocated to a specific feature,Real,"R+",0,1000000
DV5,set_worker_availability,The planned availability percentage for a worker,Real,"R+",0,100
DV6,assign_skill_level,The required skill level for a task,Integer,"Z+",1,5
DV7,resolve_blocker_priority,The priority level for resolving a blocker,Integer,"Z+",1,3
DV8,set_sprint_goal_achievement,The target achievement percentage for the sprint goal,Real,"R+",0,100
DV9,number_of_sprints,The total number of sprints for the project,Integer,"Z+",1,20
