ID,Name,Description,IsSum,GoalType,EntityName,EntityAttribute,CriteriaType,Weight
G0,maximize_team_velocity,Maximize the average velocity of the team,True,max,Team,avg._story_points,2,1.0
G1,minimize_project_budget,Minimize the total project budget,False,min,Project,budget,2,1.5
G2,minimize_blocker_severity,Minimize the severity of active blockers,True,min,Blocker,severity,2,1.2
G3,maximize_feature_priority,Maximize the total priority of features in the release,True,max,Feature,priority,2,1.0
G4,maximize_worker_availability,Maximize the overall availability of the team,True,max,Worker,availability,2,0.8
G5,minimize_sprint_duration,Minimize the duration of sprint meetings,False,min,SprintPlanning,duration_(min),2,0.5
G6,maximize_stakeholder_influence,Maximize the influence level of engaged stakeholders,True,max,Stakeholder,influence_level,2,0.7
G7,minimize_task_effort,Minimize the total effort of tasks in the sprint,True,min,Task,effort,2,1.1
G8,maximize_sprint_goal_achievement,Maximize the achievement status of the sprint goal,False,max,SprintGoal,achievement_status,2,1.0
G9,maximize_skill_level,Maximize the average skill level of the team,True,max,Skill,level,2,0.9
