ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,MinimizeProjectDuration,Minimize the total project duration in days,MinProjectDuration,Project,Min,🟢
G2,MaximizeTeamVelocity,Maximize the average story points completed per sprint,MaxTeamVelocity,Velocity,Max,🟢
G3,MinimizeBudgetOverrun,Minimize the amount by which actual spending exceeds the budget,MinBudgetOverrun,Project,Min,🟢
G4,MaximizeSprintGoalAchievement,Maximize percentage of sprint goals achieved per sprint,MaxSprintGoalAchievement,Sprint Goal,Max,🟢
G5,MinimizeBugCount,Minimize number of blockers or bugs per sprint,MinBugCount,Blocker / Problem / Bug,Min,🟢
G6,MaximizeFeatureThroughput,Maximize number of features completed per release plan,MaxFeatureThroughput,Feature,Max,🟡
G7,MaximizeTestPassRate,Maximize percentage of passing tests in development snapshots,MaxTestPassRate,Development Snapshot,Max,🟢
G8,MinimizeChangeRequests,Minimize the number of change requests on feature documentation,MinChangeRequests,Feature Documentation,Min,🟡
G9,MaximizeStakeholderFeedback,Maximize count of positive feedback entries in sprint reviews,MaxStakeholderFeedback,Sprint Review,Max,🟡
G10,MaximizeOnTimeReleases,Maximize the number of release plans delivered by planned date,MaxOnTimeReleases,Release Plan,Max,🟢
