ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,worker_assignment,Assignment of a worker to a task,Integer,"{0,1}",0,1
DV1,task_priority,Priority level assigned to a task,Integer,"{1,2,3,4,5}",1,5
DV2,sprint_length,Sprint duration in days,Integer,,2,4
DV3,story_points,Estimated effort for a user story,Integer,,1,13
DV4,team_size,Number of members in a team,Integer,,3,9
DV5,refinement_effort_hours,Hours allocated per week for backlog refinement,Float,,2,8
DV6,task_effort_hours,Estimated hours to complete a task,Float,,0.5,40
DV7,feature_release_version,Version number in which a feature is released,Integer,,1,10
DV8,worker_skill_level,Skill proficiency level of a worker,Integer,"{1,2,3,4,5}",1,5
DV9,scrum_board_columns,Number of columns on the Scrum Board,Integer,,3,7
DV10,velocity_forecast,Predicted story points for next sprint,Float,,0,50
DV11,stakeholder_influence_weight,Weight representing stakeholder influence,Integer,,1,10
DV12,documentation_completeness,Ratio of complete documentation (0–1),Float,,0.0,1.0
DV13,blocker_severity_level,Severity rating of a blocker,Integer,"{1,2,3}",1,3
DV14,retrospective_frequency,Number of retrospectives per month,Integer,,1,4
