ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_user_story_to_sprint,"1 if UserStory u is assigned to Sprint s; 0 otherwise.",Binary,{0,1},0,1
DV1,select_feature_for_release,"1 if Feature f is included in ReleasePlan r; 0 otherwise.",Binary,{0,1},0,1
DV2,allocate_task_to_worker,"1 if Task t is executed by Worker w; 0 otherwise.",Binary,{0,1},0,1
DV3,set_task_status_done,"1 if Task t is completed within Sprint s; 0 otherwise.",Binary,{0,1},0,1
DV4,activate_blocker_resolution,"1 if Blocker b is resolved in Sprint s; 0 otherwise.",Binary,{0,1},0,1
DV5,choose_sprint_goal_commitment,"1 if SprintGoal for Sprint s is committed; 0 otherwise.",Binary,{0,1},0,1
DV6,allocate_team_to_project,"1 if Team t is assigned to Project p; 0 otherwise.",Binary,{0,1},0,1
DV7,prioritize_user_story,"Integer priority rank assigned to UserStory u.",Integer,{1,2,3,4,5},1,5
DV8,estimate_story_points,"Integer story points chosen for UserStory u.",Integer,{1,2,3,5,8,13,20},1,20
DV9,set_worker_availability,"Availability percentage for Worker w in the sprint.",Integer,[0,100],0,100
DV10,limit_sprint_wip,"Maximum number of concurrent Tasks per Worker in Sprint s.",Integer,[1,10],1,10
DV11,select_epic_for_decomposition,"1 if Epic e is selected for decomposition this increment; 0 otherwise.",Binary,{0,1},0,1
DV12,choose_deployment_target,"1 if DevelopmentSnapshot v targets production; 0 otherwise.",Binary,{0,1},0,1
