ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Maximize Team Velocity,Enhance productivity by increasing average story points completed,MaxTeamVelocity,Velocity,Max,🟢
G2,Minimize Sprint Duration,Ensure rapid delivery by reducing sprint durations,MinSprintDuration,Sprint,Min,🟢
G3,Maximize Feature Delivery,Increase number of completed features per sprint,MaxFeatureDelivery,Feature,Max,🟢
G4,Minimize Blockers,Reduce the number of blockers impacting tasks,MinBlockers,Blocker / Problem / Bug,Min,🟢
G5,Maximize Employee Utilization,Optimize the allocation of employees to teams and tasks,MaxEmployeeUtilization,Employee,Max,🟡
G6,Minimize Budget Usage,Reduce costs while maintaining quality,MinBudget,Project,Min,🟢
G7,Maximize Stakeholder Satisfaction,Ensure stakeholder needs are met via reviews,MaxStakeholderSatisfaction,Stakeholder,Max,🟡
G8,Maximize Role Coverage,Ensure all necessary Scrum roles are filled,MaxRoleCoverage,Role(s),Max,🟢
G9,Maximize Certified Skills,Maximize use of certified employees in tasks,MaxCertifiedSkillUse,Skill / Competence,Max,🟡
G10,Minimize Task Overlap,Avoid redundant work by preventing task duplication,MinTaskOverlap,Task / Sub-Task,Min,🔴
