ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Team Size,Number of people in a team,TeamSize,Team,Integer,3,9
DV2,Task Effort Points,Effort points assigned to a task,TaskEffort,Task / Sub-Task,Integer,1,8
DV3,Sprint Duration,Length of sprint in days,SprintLength,Sprint,Integer,7,30
DV4,Employee Availability,Availability percentage of an employee,EmployeeAvailability,Employee,Float,0.0,1.0
DV5,Number of Sprints,Total sprints planned per project,SprintCount,Project,Integer,1,8
DV6,Velocity Target,Story points to be achieved in a sprint,VelocityTarget,Velocity,Integer,10,100
DV7,Budget Allocation,Budget assigned per project,BudgetValue,Project,Float,10000,1000000
DV8,Task Assignment,Number of tasks assigned per employee,TaskLoad,Employee,Integer,0,10
DV9,Skill Level,Skill proficiency level required,RequiredSkillLevel,Skill / Competence,Integer,1,5
DV10,Daily Scrum Duration,Length of daily meeting in minutes,DailyScrumTime,Daily Scrum,Integer,5,15
