ID,Name,Description,LogicalName,TargetedEntities,DataType,MinValue,MaxValue
DV1,Team Size,Number of employees in a team,team_size,Team,Integer,3,9
DV2,Sprint Duration,Length of each sprint in days,sprint_duration,Sprint,Integer,7,30
DV3,Task Assignment,Employee-task assignment matrix,task_assignment,Task / Sub-Task,Integer,0,1
DV4,Sprint Count,Number of sprints per project,sprint_count,Project,Integer,1,10
DV5,Effort Allocation,Effort (hours) allocated to each task,effort_allocation,Task / Sub-Task,Float,1,40
DV6,Skill Matching,Skill availability for each team member,skill_matching,Employee,Integer,0,1
DV7,Budget Allocation,Budget distributed per feature,budget_allocation,Feature,Float,1000,100000
DV8,Story Point Allocation,Story points assigned per user story,story_point_allocation,User Story,Integer,1,13
DV9,Sprint Goal Selection,Sprint goal linked to each sprint,sprint_goal_selection,Sprint,Integer,0,1
DV10,Retrospective Improvements,Actions generated per retrospective,retrospective_improvements,Sprint Retrospective,Integer,0,5
