ID,Name,Description,LogicalName,TargetedEntities,Goal,CriteriaType
G1,Minimize Sprint Duration,Reduce the average length of sprints to accelerate delivery,min_sprint_duration,Sprint,Min,🟢
G2,Maximize Team Utilization,Ensure teams are effectively occupied without overload,max_team_utilization,Team,Max,🟡
G3,Minimize Blockers,Reduce number of blockers encountered during development,min_blockers,Blocker / Problem / Bug,Min,🟢
G4,Maximize Feature Completion,Ensure as many planned features are completed,max_feature_completion,Feature,Max,🟢
G5,Minimize Task Overlap,Avoid overlapping task assignments among employees,min_task_overlap,Task / Sub-Task,Min,🔴
G6,Maximize Skill Coverage,Ensure all required skills for tasks are present in the team,max_skill_coverage,Skill / Competence,Max,🟢
G7,Maximize Stakeholder Satisfaction,Deliver features aligned with stakeholder priorities,max_stakeholder_satisfaction,Stakeholder,Max,🟡
G8,Minimize Unused Story Points,Avoid leaving story points unallocated across sprints,min_unused_story_points,User Story,Min,🟢
G9,Maximize Retrospective Improvement,Ensure retrospectives lead to actionable improvements,max_retrospective_improvement,Sprint Retrospective,Max,🟡
G10,Maximize Budget Efficiency,Deliver maximum value within or under budget,max_budget_efficiency,Project,Max,🟢
