ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_story_to_sprint_backlog,"Binary variable to decide if a User Story is added to a Sprint Backlog",Boolean,"{0,1}",0,1
DV1,assign_worker_to_task,"Binary variable to decide if a Worker is assigned to a specific Task",Boolean,"{0,1}",0,1
DV2,set_story_points_for_user_story,"Integer variable for estimating the effort for a User Story",Integer,"{1,2,3,5,8,13,21}",1,21
DV3,set_priority_for_feature,"Integer variable to set the business priority for a Feature",Integer,"",1,10
DV4,select_feature_for_release_plan,"Binary variable to decide if a Feature is included in a Release Plan",Boolean,"{0,1}",0,1
DV5,set_sprint_duration_days,"Integer variable to define the length of a Sprint in days",Integer,"{7,14,21,30}",7,30
DV6,allocate_team_to_project,"Binary variable to assign a whole Team to a Project",Boolean,"{0,1}",0,1
DV7,define_task_effort_hours,"Float variable to estimate the effort in hours for a Task",Float,"",0.5,16.0
DV8,set_project_budget_amount,"Float variable to allocate a budget to a Project",Float,"",10000,1000000
DV9,choose_worker_role,"Categorical variable for assigning a Role to a Worker",String,"{Developer,Tester,Designer}",,
DV10,update_task_status,"Categorical variable for the status of a Task on the Scrum Board",String,"{ToDo,InProgress,Done}",,
DV11,set_team_size,"Integer variable to define the number of members in a team",Integer,"",3,9
DV12,create_blocker_for_task,"Binary variable to flag a Task with a new Blocker",Boolean,"{0,1}",0,1
