ID,Name,Description,DataType,Domain,MinValue,MaxValue
DV0,assign_worker_to_task,Assignment of a worker to a specific task,integer,"{0,1}",0,1
DV1,task_effort_estimate,Estimated effort for a task in hours,float,,1,40
DV2,sprint_duration_days,Number of days in a sprint,integer,,5,28
DV3,story_points_estimate,Story points assigned to a User Story,integer,"{1,2,3,5,8,13}",1,13
DV4,worker_availability_fraction,Percentage of time a worker is available for sprint,float,,0.0,1.0
DV5,number_of_sprints_in_release,Total sprints planned for a release,integer,,1,10
DV6,feature_priority_rank,Priority rank of a feature in backlog,integer,,1,100
DV7,planned_release_date,Target date for feature release (as Unix timestamp),integer,,1700000000,2000000000
DV8,team_size_count,Number of members in a Scrum team,integer,,3,10
DV9,documentation_status_flag,Indicates if feature documentation is complete,integer,"{0,1}",0,1
DV10,moderation_assignment,Scrum Master assigned to moderate event,integer,"{0,1}",0,1
DV11,goal_achievement_score,Score indicating degree of Sprint Goal achievement,float,,0.0,1.0
DV12,feedback_rating,Sprint Review feedback rating from stakeholders,float,,1.0,5.0
