ID,Name,Description,DataType,Domain,MinValue,MaxValue
D0,team_assignment,Team assignment to projects,Binary,{0,1},0,1
D1,task_priority,Priority of tasks,Integer,{1,2,3},1,3
D2,sprint_goal_achievement,Achievement status of sprint goals,Binary,{0,1},0,1
D3,blocker_resolution,Resolution status of blockers,Binary,{0,1},0,1
D4,feature_inclusion,Inclusion of features in the product backlog,Binary,{0,1},0,1
D5,task_effort,Effort required for tasks,Integer,{1,10},1,10
D6,product_owner_availability,Availability of product owners,Integer,{1,10},1,10
D7,team_satisfaction,Satisfaction level of teams,Integer,{1,5},1,5
D8,sprint_retrospective_improvement_actions,Number of improvement actions,Integer,{0,5},0,5
D9,stakeholder_influence_level,Influence level of stakeholders,Integer,{1,5},1,5
D10,project_duration,Duration of projects,Integer,{1,100},1,100
